ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,Time,TanAhKow,Yes,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.28,1.29,1.30,1.31,1.32,1.33,1.34,1.35,1.36,1.37,1.38,1.39,1.40,1.41,1.42,1.43,1.44,1.45,1.46,1.47,1.48,1.49,1.50,1.51,1.52,1.53,1.54,1.55,1.56,1.57,1.58,1.59,1.60,1.61,0,0.1,1.62,1.63,1.64,1.65,1.66,1.67,1.68
0.12,-0.6,0.79,0.77,-1.4,1.26,78,77,88,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.61,0.78,0.21,-0.63,0.91,86,86,100,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13,-0.6,0.79,-0.14,-2.31,0.14,75,74,86,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.6,0.8,0.49,-1.89,0.56,82,84,96,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13,-0.6,0.8,0.0,-2.1,0.42,81,79,91,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13,-0.6,0.8,0.21,-1.54,0.35,75,73,85,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.59,0.79,0.49,-2.24,0.91,84,83,98,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.6,0.8,0.0,-2.17,0.56,76,74,86,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.6,0.8,0.07,-1.96,0.35,80,79,92,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.6,0.8,-0.28,-2.31,0.21,83,84,95,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.6,0.8,0.0,-1.82,0.7,79,76,89,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13,-0.6,0.8,0.14,-2.38,1.05,83,84,98,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.61,0.79,0.63,-2.03,0.91,73,72,86,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.6,0.79,0.28,-1.96,0.7,82,83,100,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.6,0.8,0.49,-1.75,0.56,75,75,89,25/06/2023 12:34:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.6,0.8,0.49,-1.75,0.56,75,75,89,25/06/2023 12:34:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.6,0.8,0.42,-1.68,0.7,76,76,88,25/06/2023 12:34:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.6,0.79,0.0,-1.89,0.56,81,83,97,25/06/2023 12:34:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.6,0.8,0.49,-2.03,0.98,77,76,91,25/06/2023 12:34:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.61,0.8,0.14,-1.82,0.14,78,76,88,25/06/2023 12:34:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.59,0.8,-0.07,-1.96,-0.14,82,83,96,25/06/2023 12:34:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.6,0.8,0.21,-1.68,0.77,74,72,85,25/06/2023 12:34:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.59,0.81,0.07,-3.08,0.7,82,83,97,25/06/2023 12:34:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12,-0.62,0.81,0.35,-1.19,0.35,77,74,87,25/06/2023 12:34:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
