ACX,ACY,ACZ,GX,GY,GZ,PRESS1,PRESS2,PRESS3,Time,TanAhKow,Yes,0,0.1,0.2,0.3,1,1.1,1.2,1.3,1.4,0.4,1.5,0.5,1.6,0.6,0.7,0.8,0.9,0.10,0.11,0.12,1.7,1.8,1.9,1.10,0.13,0.14,1.11,0.15,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,0.16,0.17,0.18,0.19,0.20,0.21,0.22,1.21,1.22,1.23,1.24,0.23,0.24,0.25,1.25,1.26,0.26,1.27,1.28,1.29,0.27,0.28,1.30,0.29,0.30,0.31,0.32,0.33
-1.32,2.08,0.63,-91.77,-205.73,720.09,76,74,90,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.31,-1.08,0.9,159.88,36.54,301.21,77,75,86,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.22,-1.07,1.08,8.19,194.04,0.49,80,79,92,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.15,1.44,41.02,61.81,-35.49,76,74,88,25/06/2023 12:43:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.15,1.44,41.02,61.81,-35.49,76,74,88,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.15,-0.85,1.18,7.84,-25.2,-152.53,76,73,88,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.91,-1.23,1.15,-29.82,-20.37,-405.58,77,78,93,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.14,-0.47,-0.18,208.11,-208.6,-505.33,73,72,87,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0.82,0.46,-4.06,70.21,-47.81,76,79,93,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.32,1.97,0.84,-278.6,106.12,226.38,77,76,92,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.38,-1.26,0.5,-82.6,59.29,61.39,76,75,88,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2,0.04,1.2,-413.42,-79.38,227.29,78,77,92,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.61,0.29,0.25,307.09,66.99,155.89,75,72,87,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.52,-1.9,1.31,48.51,250.11,40.95,77,76,91,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26,-0.12,2.35,35.07,149.59,-121.24,79,79,93,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.36,0.25,1.21,59.5,-500.5,-46.97,72,70,83,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.37,0.47,0.55,5.88,45.71,-112.0,73,71,85,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.42,-1.24,2.14,137.69,-339.78,-162.82,80,78,94,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.04,0.49,0.9,-237.72,-22.61,165.55,77,78,95,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.63,-0.62,0.83,-131.04,119.35,332.78,73,73,87,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.26,-1.37,1.37,-26.32,14.91,24.15,77,74,90,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.11,-0.09,0.81,81.76,133.84,24.78,78,78,92,25/06/2023 12:43:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.11,-0.09,0.81,81.76,133.84,24.78,78,78,92,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38,-0.01,1.05,225.68,33.95,-37.45,74,72,87,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.17,-0.41,1.18,-4.83,-59.15,63.14,75,75,91,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.45,-0.61,1.4,9.24,-271.11,-173.67,79,78,93,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.25,-0.28,1.0,140.7,-224.56,-129.85,79,77,93,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06,0.09,0.97,-72.31,-209.72,-63.84,75,75,90,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,-0.38,0.52,-68.04,16.1,-60.83,70,70,84,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,-0.1,0.97,-195.44,194.25,62.37,75,78,90,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.37,0.09,1.37,39.76,66.01,-39.13,78,78,94,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26,-0.12,0.84,-116.34,-32.2,150.08,74,73,89,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.58,-0.64,1.14,-89.6,-118.86,127.05,73,71,87,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.01,0.67,0.67,-4.62,-59.99,339.08,77,75,89,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.27,-1.44,0.55,237.93,-20.72,157.22,79,80,93,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.36,-1.94,0.73,73.22,128.17,-122.99,77,75,90,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.48,-0.41,0.94,404.53,137.97,-713.72,74,72,84,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11,2.56,-0.31,105.49,41.65,-50.54,80,78,93,25/06/2023 12:43:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3,1.24,1.44,-360.15,84.77,364.49,73,73,86,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.06,-2.01,1.62,-239.4,-374.29,368.41,72,70,83,25/06/2023 12:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
